0103-4014; ESTUDOS AVANÇADOS (USP. IMPRESSO); A2
0250-7161; EURE (SANTIAGO. IMPRESA); A2
0955-534X; EUROPEAN BUSINESS REVIEW; A2
1351-847X; EUROPEAN JOURNAL OF FINANCE (PRINT); A2
0902-4441; EUROPEAN JOURNAL OF HAEMATOLOGY; A2
0929-1873; EUROPEAN JOURNAL OF PLANT PATHOLOGY; A2
1618-4742; EUROPEAN SPORT MANAGEMENT QUARTERLY; A2
1851-1732; Estudios y Perspectivas em Turismo; A2
1806-9592; Estudos Avançados (USP.Impresso); A2
8756-758X; FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES (PRINT); A2
1544-6123; FINANCE RESEARCH LETTERS (PRINT); A2
0308-8146; FOOD CHEMISTRY; A2
0956-7135; FOOD CONTROL; A2
0950-3293; FOOD QUALITY AND PREFERENCE; A2
0963-9969; FOOD RESEARCH INTERNATIONAL; A2
1535-3141; FOODBORNE PATHOGENS AND DISEASE; A2
1662-5161; FRONTIERS IN HUMAN NEUROSCIENCE; A2
1754-2413; GENDER IN MANAGEMENT (PRINT); A2
2042-5805; GLOBAL STRATEGY JOURNAL; A2
0018-084X; HERPETOLOGICAL REVIEW; A2
1080-7039; HUMAN AND ECOLOGICAL RISK ASSESSMENT; A2
0018-8158; HYDROBIOLOGIA (THE HAGUE. PRINT); A2
1750-743X; IMMUNOTHERAPY (PRINT); A2
0019-7858; INDUSTRIAL AND COMMERCIAL TRAINING; A2
1741-6469; INFORM DEV; A2
0266-6669; INFORMATION DEVELOPMENT; A2
1570-1255; INFORMATION POLITY; A2
0268-1102; INFORMATION TECHNOLOGY FOR DEVELOPMENT; A2
1447-9338; INNOVATION: MANAGEMENT, POLICY & PRACTICE; A2
0378-1844; INTERCIENCIA (CARACAS); A2
1755-8077; INTERNATIONAL JOURNAL OF APPLIED DECISION SCIENCES; A2
1470-9511; INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT; A2
1751-2018; INTERNATIONAL JOURNAL OF BUSINESS AND SYSTEMS RESEARCH (ONLINE); A2
1751-200X; INTERNATIONAL JOURNAL OF BUSINESS AND SYSTEMS RESEARCH (PRINT); A2
1756-0047; INTERNATIONAL JOURNAL OF BUSINESS EXCELLENCE (PRINT); A2
1746-0980; INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (ONLINE); A2
1746-0972; INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT); A2
1751-0252; INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH (PRINT); A2
1743-8187; INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING; A2
1470-6423; INTERNATIONAL JOURNAL OF CONSUMER STUDIES (PRINT); A2
1364-727X; INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY (PRINT); A2
1741-3591; INTERNATIONAL JOURNAL OF DISCLOSURE AND GOVERNANCE; A2
2146-4553; INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY; A2
1750-6220; INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT (PRINT); A2
1741-5098; INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT (ONLINE); A2
1476-1297; INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS; A2
1474-6778; INTERNATIONAL JOURNAL OF ENVIRONMENT AND SUSTAINABLE DEVELOPMENT; A2
1478-9868; INTERNATIONAL JOURNAL OF ENVIRONMENT AND WASTE MANAGEMENT (ONLINE); A2
1660-4601; INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH; A2
0020-7233; INTERNATIONAL JOURNAL OF ENVIRONMENTAL STUDIES; A2
1466-2132; INTERNATIONAL JOURNAL OF ENVIRONMENTAL TECHNOLOGY AND MANAGEMENT; A2
1758-2091; INTERNATIONAL JOURNAL OF GLOBAL WARMING (ONLINE); A2
1947-3478; INTERNATIONAL JOURNAL OF HUMAN CAPITAL AND INFORMATION TECHNOLOGY PROFESSIONALS; A2
1471-8197; INTERNATIONAL JOURNAL OF INNOVATION AND LEARNING (PRINT); A2
1740-8830; INTERNATIONAL JOURNAL OF INNOVATION AND SUSTAINABLE DEVELOPMENT; A2
1363-9196; INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT; A2
1741-1009; INTERNATIONAL JOURNAL OF KNOWLEDGE AND LEARNING (PRINT); A2
2040-4166; INTERNATIONAL JOURNAL OF LEAN SIX SIGMA; A2
1479-4853; INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL (PRINT); A2
1367-5567; INTERNATIONAL JOURNAL OF LOGISTICS; A2
0957-4093; INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT; A2
1742-7967; INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT (PRINT); A2
1743-9132; INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE; A2
1470-9503; INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS; A2
1934-8835; INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS (2005); A2
